Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
9.79,H,44020,111112,291220,20002328,"A: 12006693 | K: 11374",PayPal,PDF
27.98,H,44020,111112,281220,20002248,"A: 12006629 | K: 11309",PayPal,PDF
69.95,H,44020,111112,221220,20002200,"A: 12006561 | K: 11237",PayPal,PDF
35.37,H,44020,111112,211020,20001724,"A: 12006040 | K: 10688","Mollie PayPal",PDF
30.28,H,44020,111112,241120,20001940,"A: 12006284 | K: 10955",Vorkasse,PDF
55.96,H,44020,111112,191220,20002139,"A: 12006503 | K: 11179",PayPal,PDF
139.9,H,44020,111112,231220,20002224,"A: 12006586 | K: 11263",PayPal,PDF
11.59,H,44020,111112,221220,20002211,"A: 12006572 | K: 11248",PayPal,PDF
56.26,H,44020,111112,181220,20002129,"A: 12006487 | K: 11162",PayPal,PDF
22.37,H,44020,111112,291220,20002329,"A: 12006697 | K: 11378",PayPal,PDF
93.8,H,44020,111112,091120,20001842,"A: 12006175 | K: 10850","SOFORT Überweisung",PDF
79.95,H,44020,111112,021120,20001785,"A: 12006126 | K: 10808",PayPal,PDF
83.94,H,44020,111112,311220,20002379,"A: 12006737 | K: 11422",PayPal,PDF
37.95,H,44020,111112,271120,20001959,"A: 12006314 | K: 10984",PayPal,PDF
34.55,H,44020,111112,291220,20002320,"A: 12006685 | K: 11366",PayPal,PDF
44.51,H,44020,111112,271120,20001919,"A: 12006272 | K: 10943",Vorkasse,PDF
51.71,H,44020,111112,281220,20002264,"A: 12006624 | K: 11303",PayPal,PDF
54.48,H,44020,111112,051220,20002002,"A: 12006356 | K: 11026",PayPal,PDF
38.87,H,44020,111112,090121,20002145,"A: 12006501 | K: 11177",PayPal,PDF
111.92,H,44020,111112,211220,20002162,"A: 12006522 | K: 11198",PayPal,PDF
111.48,H,44020,111112,021120,20001790,"A: 12006131 | K: 10813",PayPal,PDF
21.29,H,44020,111112,301020,20001783,"A: 12006123 | K: 10805",PayPal,PDF
13.29,H,44020,111112,231120,20001932,"A: 12006288 | K: 10958",PayPal,PDF
17.19,H,44020,111112,211220,20002186,"A: 12006545 | K: 11222",PayPal,PDF
58.98,H,44020,111112,031220,20001996,"A: 12006350 | K: 11020",PayPal,PDF
55.49,H,44020,111112,251120,20001944,"A: 12006298 | K: 10967","SOFORT Überweisung",PDF
